;Post code;Sub-municipality name (Dutch)
295;6464.0;
296;7861.0;
297;7131.0;
298;6044.0;
299;6030.0;
300;7134.0;
301;6181.0;
302;7382.0;
303;7301.0;
304;6230.0;
305;1130.0;Brussel
306;1410.0;
307;1474.0;
308;2350.0;Vosselaar
309;2870.0;Puurs
310;2360.0;Oud-Turnhout
311;5364.0;
312;8640.0;Oostvleteren
313;8690.0;Alveringem
314;8791.0;Beveren
315;8880.0;Rollegem-Kapelle
316;6600.0;
317;6688.0;
318;6692.0;
319;6769.0;
320;6980.0;
321;1860.0;Meise
322;1650.0;Beersel
323;1742.0;Sint-Katherina-Lombeek
324;5001.0;
325;5000.0;
326;3530.0;Houthalen
327;3580.0;Beringen
328;3742.0;Martenslinde
329;3791.0;Remersdaal
330;3798.0;'s-Gravenvoeren
331;8460.0;Oudenburg
332;8582.0;Outrijve
333;5630.0;
334;5561.0;
335;5140.0;
336;5660.0;
337;5031.0;
338;5570.0;
339;3723.0;Guigoven
340;3840.0;Borgloon
341;3910.0;Neerpelt
342;8377.0;Houtave
343;8432.0;Leffinge
344;8520.0;Kuurne
345;8840.0;Staden
346;6700.0;
347;6824.0;
348;6838.0;
349;6924.0;
350;1630.0;Linkebeek
351;3040.0;Neerijse
352;9.0;Zichem
353;3000.0;Heverlee
354;1602.0;Vlezenbeek
355;3350.0;Wommersom
356;1932.0;Sint-Stevens-Woluwe
357;3070.0;Kortenberg
358;4710.0;
359;4453.0;
360;6060.0;
361;7040.0;
362;6536.0;
363;7804.0;
364;6542.0;
365;6461.0;
366;7531.0;
367;7532.0;
368;1000.0;Elsene
369;1390.0;
370;2235.0;Houtvenne
371;9550.0;Sint-Lievens-Esse
372;9100.0;Sint-Niklaas
373;9988.0;Watervliet
374;9250.0;Waasmunster
375;9150.0;Bazel
376;9810.0;Nazareth
377;9400.0;Ninove
378;4590.0;
379;4606.0;
380;4880.0;
381;4831.0;
382;6997.0;
383;1654.0;Huizingen
384;3118.0;Werchter
385;5621.0;
386;5640.0;
387;5537.0;
388;5020.0;
389;5377.0;
390;5081.0;
391;3501.0;Wimmertingen
392;3620.0;Lanaken
393;3950.0;Bocholt
394;8850.0;Ardooie
395;6821.0;
396;6834.0;
397;6852.0;
398;6853.0;
399;1653.0;Dworp
400;9270.0;Laarne
401;9290.0;Uitbergen
402;9681.0;Nukerke
403;4761.0;
404;4140.0;
405;4877.0;
406;4670.0;
407;4750.0;
408;4780.0;
409;4051.0;
410;4652.0;
411;7740.0;
412;6221.0;
413;7942.0;
414;7332.0;
415;7010.0;
416;6500.0;
417;6250.0;
418;7624.0;
419;7611.0;
420;7130.0;
421;6560.0;
422;7711.0;
423;6210.0;
424;7190.0;
425;1120.0;Brussel
426;1150.0;Sint-Pieters-Woluwe
427;1320.0;
428;1331.0;
429;1348.0;
430;1404.0;
431;2520.0;Broechem
432;2490.0;Balen
433;2530.0;Boechout
434;2270.0;Herenthout
435;5190.0;
436;5010.0;
437;5101.0;
438;5524.0;
439;3930.0;Achel
440;3945.0;Kwaadmechelen
441;8300.0;Knokke
442;8531.0;Hulste
443;8790.0;Waregem
444;8792.0;Desselgem
445;6920.0;
446;9521.0;Letterhoutem
447;4040.0;
448;4801.0;
449;4280.0;
450;4700.0;
451;4357.0;
452;4980.0;
453;6001.0;
454;7970.0;
455;7972.0;
456;7803.0;
457;6042.0;
458;612.0;Brussel
459;1000.0;Brussel
460;2275.0;Lille
461;2650.0;Edegem
462;2030.0;Antwerpen
463;2950.0;Kapellen
464;6831.0;
465;6971.0;
466;1804.0;Vilvoorde
467;1671.0;Elingen
468;1730.0;Asse
469;1702.0;Groot-Bijgaarden
470;3111.0;Wezemaal
471;1560.0;Hoeilaart
472;1601.0;Ruisbroek
473;9111.0;Belsele
474;9470.0;Denderleeuw
475;9950.0;Waarschoot
476;9688.0;Schorisse
477;9831.0;Deurle
478;5576.0;
479;5352.0;
480;5570.0;
481;5644.0;
482;5522.0;
483;3510.0;Kermt
484;3512.0;Stevoort
485;8434.0;Westende
486;8560.0;Moorsele
487;8908.0;Vlamertinge
488;8972.0;Proven
489;6782.0;
490;6812.0;
491;6820.0;
492;6830.0;
493;1830.0;Machelen
494;3128.0;Baal
495;1933.0;Sterrebeek
496;1703.0;Schepdaal
497;3050.0;Oud-Heverlee
498;1731.0;Relegem
499;9932.0;Ronsele
500;9968.0;Bassevelde
